"Study","Year","Date","Site","Treatment","Cage","Tag","Fullness","Digestion","Total Contents Weight","Taxon","Count","Taxa Weight","Comments"
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"A","SM_110719_7",5,5,0.0025,"Cyclopoida copepodid",14,NA,NA
"Suisun Marsh Pilot",2019,2019-11-06,"Rio Vista",NA,"C","RV_110619_39",2,5,0,"Cyclopoida copepodid",1,NA,"no usosome"
"Suisun Marsh Pilot",2019,2019-11-06,"Rio Vista",NA,"C","RV_110619_41",2,5,0,"Acanthocyclops copepodid",1,NA,NA
"Suisun Marsh Pilot",2019,2019-11-06,"Rio Vista",NA,"C","RV_110619_38",2,5,2e-04,"Pseudodiaptomus forbesi copepodid",1,NA,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"A","SM_110719_6",3,5,0.0017,"Acanthocyclops copepodid",22,NA,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"A","SM_110719_6",3,5,0.0017,"Eurytemora carolleeae copepodid",9,NA,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"A","SM_110719_6",3,5,0.0017,"Sinocalanus doerrii copepodid",3,NA,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"A","SM_110719_6",3,5,0.0017,"Cyclopoida copepodid",11,NA,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"A","SM_110719_5",3,5,0.00014,"Acanthocyclops copepodid",9,NA,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"A","SM_110719_5",3,5,0.00014,"Eurytemora carolleeae copepodid",2,NA,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"A","SM_110719_5",3,5,0.00014,"Calanoida copepodid",1,NA,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"A","SM_110719_3",3,5,0.0053,"Eurytemora carolleeae copepodid",12,2e-04,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"A","SM_110719_3",3,5,0.0053,"Acanthocyclops copepodid",62,0.0011,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"A","SM_110719_3",3,5,0.0053,"Cyclopoida copepodid",16,5e-04,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"A","SM_110719_3",3,5,0.0053,"Calanoida copepodid",20,3e-04,NA
"Suisun Marsh Pilot",2019,2019-11-06,"Rio Vista",NA,"A","RV_110619_3",2,5,8e-04,"Pseudodiaptomus forbesi copepodid",1,NA,NA
"Suisun Marsh Pilot",2019,2019-11-06,"Rio Vista",NA,"A","RV_110619_3",2,5,8e-04,"Acanthocyclops copepodid",2,NA,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"C","SM_110719_34",2,5,5e-04,"Acanthocyclops copepodid",5,NA,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"C","SM_110719_34",2,5,5e-04,"Eurytemora carolleeae copepodid",1,NA,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"C","SM_110719_34",2,5,5e-04,"Diacyclops thomasi copepodid",1,NA,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"A","SM_110719_1",3,5,3e-04,"Cyclopoida copepodid",3,NA,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"A","SM_110719_1",3,5,3e-04,"Acanthocyclops copepodid",6,NA,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"B","SM_110719_18",3,5,0.0021,"Acanthocyclops copepodid",11,NA,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"B","SM_110719_18",3,5,0.0021,"Cyclopoida copepodid",2,NA,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"C","SM_110719_31",2,5,0,"Acanthocyclops copepodid",1,NA,NA
"Suisun Marsh Pilot",2019,2019-11-06,"Rio Vista",NA,"B","RV_110619_25",3,5,6e-04,"Acanthocyclops copepodid",2,0,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"C","SM_110719_36",2,5,6e-04,"Cyclopoida copepodid",1,0,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"B","SM_110719_19",3,5,0.0016,"Acanthocyclops copepodid",1,0,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"A","SM_110719_10",4,5,0.0058,"Acanthocyclops copepodid",99,NA,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"A","SM_110719_10",4,5,0.0058,"Eurytemora carolleeae copepodid",29,5e-04,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"A","SM_110719_10",4,5,0.0058,"Sinocalanus doerrii copepodid",2,0,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"A","SM_110719_10",4,5,0.0058,"Cyclopoida copepodid",41,5e-04,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"A","SM_110719_10",4,5,0.0058,"Calanoida copepodid",38,0.0012,NA
"Suisun Marsh Pilot",2019,2019-11-06,"Rio Vista",NA,"A","RV_110619_1",4,5,7e-04,"Pseudodiaptomus forbesi copepodid",2,0,NA
"Suisun Marsh Pilot",2019,2019-11-06,"Rio Vista",NA,"C","RV_110619_34",3,5,7e-04,"Pseudodiaptomus forbesi copepodid",5,0,NA
"Suisun Marsh Pilot",2019,2019-11-06,"Rio Vista",NA,"C","RV_110619_34",3,5,7e-04,"Acanthocyclops copepodid",3,0,NA
"Suisun Marsh Pilot",2019,2019-11-06,"Rio Vista",NA,"B","RV_110619_24",3,5,0.001,"Pseudodiaptomus forbesi copepodid",2,0,NA
"Suisun Marsh Pilot",2019,2019-11-06,"Rio Vista",NA,"B","RV_110619_24",3,5,0.001,"Diacyclops thomasi copepodid",1,0,NA
"Suisun Marsh Pilot",2019,2019-11-06,"Rio Vista",NA,"B","RV_110619_24",3,5,0.001,"Acanthocyclops copepodid",1,0,NA
"Suisun Marsh Pilot",2019,2019-11-06,"Rio Vista",NA,"B","RV_110619_24",3,5,0.001,"Eurytemora carolleeae copepodid",1,0,NA
"Suisun Marsh Pilot",2019,2019-11-06,"Rio Vista",NA,"B","RV_110619_24",3,5,0.001,"Cyclopoida copepodid",4,4e-04,NA
"Suisun Marsh Pilot",2019,2019-11-06,"Rio Vista",NA,"C","RV_110619_36",3,5,4e-04,"Acanthocyclops copepodid",1,0,NA
"Suisun Marsh Pilot",2019,2019-11-06,"Rio Vista",NA,"A","RV_110619_10",4,5,0.0034,"Acanthocyclops copepodid",1,0,NA
"North Delta Pilot",2019,2019-08-28,"Rio Vista",NA,"B","RV_082819_16",2,5,0,"Cyclopoida copepodid",1,0,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"A","SM_110719_4",2,4,0,"Acanthocyclops copepodid",1,0,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"A","SM_110719_9",3,4,7e-04,"Acanthocyclops copepodid",10,0,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"A","SM_110719_9",3,4,7e-04,"Eurytemora carolleeae copepodid",3,0,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"A","SM_110719_9",3,4,7e-04,"Cyclopoida copepodid",11,0,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"B","SM_110719_25",5,5,0.0013,"Acanthocyclops copepodid",46,4e-04,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"B","SM_110719_25",5,5,0.0013,"Eurytemora carolleeae copepodid",8,0,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"A","SM_110719_2",3,4,8e-04,"Acanthocyclops copepodid",4,0,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"A","SM_110719_2",3,4,8e-04,"Cyclopoida copepodid",10,8e-04,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"A","SM_110719_8",3,5,0.001,"Acanthocyclops copepodid",8,NA,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"A","SM_110719_8",3,5,0.001,"Sinocalanus doerrii copepodid",1,0,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"B","SM_110719_17",2,5,6e-04,"Acanthocyclops copepodid",3,0,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"B","SM_110719_17",2,5,6e-04,"Eurytemora carolleeae copepodid",1,0,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"B","SM_110719_17",2,5,6e-04,"Calanoida copepodid",2,0,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"B","SM_110719_17",2,5,6e-04,"Cyclopoida copepodid",2,0,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"B","SM_110719_20",3,5,0.001,"Acanthocyclops copepodid",8,NA,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"B","SM_110719_23",3,5,8e-04,"Acanthocyclops copepodid",8,NA,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"B","SM_110719_23",3,5,8e-04,"Eurytemora carolleeae copepodid",1,0,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"B","SM_110719_24",2,5,3e-04,"Cyclopoida copepodid",1,0,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"C","SM_110719_32",4,5,8e-04,"Acanthocyclops copepodid",14,0,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"C","SM_110719_32",4,5,8e-04,"Sinocalanus doerrii copepodid",2,0,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"C","SM_110719_32",4,5,8e-04,"Cyclopoida copepodid",6,0,"heads counted"
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"C","SM_110719_32",4,5,8e-04,"Calanoida copepodid",2,0,"heads counted"
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"C","SM_110719_35",3,5,5e-04,"Acanthocyclops copepodid",9,NA,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Suisun Marsh",NA,"C","SM_110719_35",3,5,5e-04,"Sinocalanus doerrii copepodid",2,0,NA
"Cage Prototypes",2019,2019-02-21,"Rio Vista",NA,"FCCL Control","RL19",3,5,5e-04,"Unidentified eggs",1,NA,NA
"Cage Prototypes",2019,2019-03-22,"SDWSC",NA,"FCCL Control Tank 2","RA42",6,6,0.0165,"Fish eggs",37,NA,"These were adhering in a single cluster, see photo"
"Cage Prototypes",2019,2019-03-22,"SDWSC",NA,"FCCL Control Tank 2","RC80",4,5,0.0037,"Fish eggs",13,NA,"same as above"
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RK73",3,4,0.0014,"Fish eggs",3,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RH89",3,5,0.00039999999999999,"Fish eggs",1,NA,NA
"Cage Prototypes",2019,2019-03-22,"SDWSC",NA,"FCCL Control Tank 1","RL25",4,4,0.0011,"Americorophium juvenile",2,NA,NA
"Cage Prototypes",2019,2019-03-22,"SDWSC",NA,"FCCL Control Tank 2","RC01",3,5,7e-04,"Americorophium juvenile",5,NA,NA
"Cage Prototypes",2019,2019-03-22,"SDWSC",NA,"FCCL Control Tank 1","RF42",4,6,0.0033,"Americorophium juvenile",3,NA,NA
"Cage Prototypes",2019,2019-03-22,"SDWSC",NA,"FCCL Control Tank 2","RD54",2,6,5e-04,"Eogammarus confervicolus juvenile",1,NA,NA
"Cage Prototypes",2019,2019-03-22,"SDWSC",NA,"FCCL Control Tank 2","RD54",2,6,5e-04,"Americorophium spinicorne juvenile",2,NA,NA
"Cage Prototypes",2019,2019-03-22,"SDWSC",NA,"FCCL Control Tank 1","RD35",5,5,0.0037,"Americorophium juvenile",1,NA,NA
"Cage Prototypes",2019,2019-03-22,"SDWSC",NA,"FCCL Control Tank 1","RA96",5,6,0.0034,"Eogammarus confervicolus juvenile",1,NA,NA
"Cage Prototypes",2019,2019-03-22,"SDWSC",NA,"FCCL Control Tank 1","RA96",5,6,0.0034,"Americorophium juvenile",1,NA,NA
"Cage Prototypes",2019,2019-03-22,"SDWSC",NA,"FCCL Control Tank 2","RD45",2,6,2e-04,"Americorophium juvenile",2,NA,NA
"Cage Prototypes",2019,2019-02-21,"Rio Vista",NA,"FCCL Control","RF37",3,4,9e-04,"Americorophium spinicorne juvenile",1,NA,NA
"Cage Prototypes",2019,2019-02-21,"Rio Vista",NA,"FCCL Control","RF37",3,4,9e-04,"Gammaridae juvenile",4,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"D","RI89",4,5,0.0027,"Americorophium juvenile",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"C","RC11",3,5,7e-04,"Bivalvia juvenile",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"B","OO98",4,5,0.0056,"Americorophium juvenile",1,NA,NA
"Cage Prototypes",2019,2019-02-21,"Rio Vista",NA,"FCCL Control","RG33",3,5,0.0017,"Americorophium juvenile",2,NA,NA
"Cage Prototypes",2019,2019-02-21,"Rio Vista",NA,"FCCL Control","RC02",3,4,0.0015,"Gammaridae juvenile",2,NA,NA
"Cage Prototypes",2019,2019-02-21,"Rio Vista",NA,"FCCL Control","OO81",5,5,0.0114,"Americorophium juvenile",2,NA,NA
"Cage Prototypes",2019,2019-02-21,"Rio Vista",NA,"FCCL Control","OO81",5,5,0.0114,"Gammaridae juvenile",1,NA,NA
"Cage Prototypes",2019,2019-02-21,"Rio Vista",NA,"FCCL Control","RB38",3,5,6e-04,"Corophiidae juvenile",8,NA,NA
"Cage Prototypes",2019,2019-02-21,"Rio Vista",NA,"FCCL Control","RL19",3,5,5e-04,"Corophiidae juvenile",1,NA,NA
"Cage Prototypes",2019,2019-02-21,"Rio Vista",NA,"FCCL Control","RJ40",2,6,0,"Corophiidae juvenile",1,0,NA
"Cage Prototypes",2019,2019-02-21,"Rio Vista",NA,"FCCL Control","RB28",3,5,3e-04,"Corophiidae juvenile",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RI87",4,3,0.0025,"Chironomidae larvae",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RB15",4,5,0.0047,"Chironomidae larvae",1,NA,NA
"Cage Prototypes",2019,2019-05-08,"SDWSC",NA,"D","RH60",3,6,0.0017,"Chironomidae larvae",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"D","RN62",4,5,0.0029,"Chironomidae larvae",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"E","RL96",3,5,9e-04,"Chironomidae larvae",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"E","RL96",3,5,9e-04,"Chironomidae larvae",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"E","OO66",4,5,0.0022,"Chironomidae larvae",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"D","RG12",4,5,0.0028,"Chironomidae larvae",2,NA,NA
"Cage Prototypes",2019,2019-02-25,"Rio Vista",NA,"B","RD03",4,4,0.005,"Insecta larvae",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"A","RC21",4,4,0.0019,"Chironomidae larvae",1,NA,NA
"Cage Prototypes",2019,2019-02-25,"Rio Vista",NA,"A","RK61",4,5,0.0041,"Chironomidae larvae",1,NA,NA
"Cage Prototypes",2019,2019-02-25,"Rio Vista",NA,"E","RG46",4,5,0.0045,"Chironomidae larvae",1,NA,NA
"Cage Prototypes",2019,2019-02-25,"Rio Vista",NA,"B","RC37",4,5,0.0056,"Chironomidae larvae",1,NA,NA
"Cage Prototypes",2019,2019-02-25,"Rio Vista",NA,"C","RL05",4,5,0.0022,"Chironomidae larvae",1,NA,NA
"Cage Prototypes",2019,2019-02-25,"Rio Vista",NA,"F","RF93",4,5,0.0072,"Culicidae larvae",1,NA,NA
"Cage Prototypes",2019,2019-02-21,"Rio Vista",NA,"FCCL Control","RB38",3,5,6e-04,"Chironomidae larvae",1,NA,NA
"Suisun Marsh Pilot",2019,2019-11-06,"Rio Vista",NA,"C","RV_110619_38",2,5,2e-04,"Chironomidae larvae",1,NA,NA
"Suisun Marsh Pilot",2019,2019-11-06,"Rio Vista",NA,"C","RV_110619_32",3,5,0.0038,"Chironomidae larvae",1,5e-04,NA
"North Delta Pilot",2019,2019-08-28,"Rio Vista",NA,"C","RV_082819_21",2,4,0,"Chironomidae larvae",1,0,NA
"North Delta Pilot",2019,2019-08-28,"Rio Vista",NA,"C","RV_082819_22",4,5,0.0022,"Chironomidae larvae",1,0,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"B","RK94",3,5,0.0016,"Eurytemora carolleeae nauplii",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"B","RN05",3,5,0.0024,"Hemiptera nymph",1,NA,NA
"Cage Prototypes",2019,2019-02-25,"Rio Vista",NA,"F","RN74",5,5,0.0035,"Chironomidae pupae",1,NA,NA
"Cage Prototypes",2019,2019-02-25,"Rio Vista",NA,"F","RF93",4,5,0.0072,"Chironomidae pupae",1,NA,NA
"Suisun Marsh Pilot",2019,2019-11-07,"Rio Vista",NA,"B","RV_110619_21",3,5,0.0032,"Chironomidae pupae",4,0.0032,NA
"Suisun Marsh Pilot",2019,2019-11-06,"Rio Vista",NA,"A","RV-110619_11",2,5,0,"Chironomidae pupae",2,NA,"thorax only"
"Suisun Marsh Pilot",2019,2019-11-07,"Yolo Bypass",NA,"C","YB_110719_34",3,5,0.0023,"Chironomidae pupae",1,NA,NA
"Suisun Marsh Pilot",2019,2019-11-06,"Rio Vista",NA,"A","RV_110619_2",3,5,0.0038,"Chironomidae pupae",1,NA,NA
"Suisun Marsh Pilot",2019,2019-11-06,"Rio Vista",NA,"B","RV_110619_20",4,5,8e-04,"Chironomidae pupae",1,3e-04,NA
"Suisun Marsh Pilot",2019,2019-11-06,"Rio Vista",NA,"C","RV_110619_32",3,5,0.0038,"Chironomidae pupae",1,9e-04,NA
"North Delta Pilot",2019,2019-08-28,"Rio Vista",NA,"C","RV_082819_17",4,5,0.002,"Chironomidae pupae",1,0,NA
"Cage Prototypes",2019,2019-02-25,"Rio Vista",NA,"B","RI44",4,3,0.0079,"Daphnia Resting egg",1,NA,NA
"Cage Prototypes",2019,2019-03-22,"SDWSC",NA,"FCCL Control Tank 2","RC01",3,5,7e-04,"Macrocyclops",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RK73",3,4,0.0014,"Diacyclops thomasi",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RK73",3,4,0.0014,"Eucyclops",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RI08",4,4,0.002,"Bosmina",1,NA,"about half of diet appeared to be detritus--see photo"
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RI08",4,4,0.002,"Chydorus",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RI08",4,4,0.002,"Acari",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RI08",4,4,0.002,"Eucyclops",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RI08",4,4,0.002,"Diacyclops thomasi",1,NA,NA
"Cage Prototypes",2019,2019-03-22,"SDWSC",NA,"FCCL Control Tank 1","RD35",5,5,0.0037,"Eogammarus confervicolus",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RI87",4,3,0.0025,"Bosmina",5,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RI87",4,3,0.0025,"Chydorus",11,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RI87",4,3,0.0025,"Ostracoda",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RI87",4,3,0.0025,"Daphnia",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RI87",4,3,0.0025,"Chydoridae",2,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"E","RD43",4,5,0.0015,"Bosmina",12,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"E","RD43",4,5,0.0015,"Chydorus",14,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"E","RD43",4,5,0.0015,"Eucyclops",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"E","RD43",4,5,0.0015,"Ceriodaphnia",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RH89",3,5,0.00039999999999999,"Bosmina",5,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RH89",3,5,0.00039999999999999,"Chydorus",2,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RH89",3,5,0.00039999999999999,"Ceriodaphnia",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RB51",6,5,0.0083,"Bosmina",38,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RB51",6,5,0.0083,"Chydorus",33,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RB51",6,5,0.0083,"Daphnia",6,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RB51",6,5,0.0083,"Ceriodaphnia",4,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RB51",6,5,0.0083,"Eucyclops",4,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RN51",5,5,0.0048,"Bosmina",17,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RN51",5,5,0.0048,"Chydorus",15,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RN51",5,5,0.0048,"Daphnia",3,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RN51",5,5,0.0048,"Ceriodaphnia",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RN51",5,5,0.0048,"Scapholeberis",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RN51",5,5,0.0048,"Ostracoda",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RN51",5,5,0.0048,"Diacyclops thomasi",3,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RN51",5,5,0.0048,"Chydoridae",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RB15",4,5,0.0047,"Bosmina",20,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RB15",4,5,0.0047,"Chydorus",21,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RB15",4,5,0.0047,"Diacyclops thomasi",2,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RB15",4,5,0.0047,"Chydoridae",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RB15",4,5,0.0047,"Daphnia",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RB15",4,5,0.0047,"Ceriodaphnia",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RB15",4,5,0.0047,"Ostracoda",2,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RG69",4,5,0.0032,"Bosmina",11,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RG69",4,5,0.0032,"Chydorus",11,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RG69",4,5,0.0032,"Eucyclops",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RG69",4,5,0.0032,"Daphnia",3,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RG69",4,5,0.0032,"Ceriodaphnia",2,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"E","RN63",4,4,0.0036,"Bosmina",2,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"E","RN63",4,4,0.0036,"Chydorus",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"E","RN63",4,4,0.0036,"Diacyclops thomasi",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"E","RN63",4,4,0.0036,"Ceriodaphnia",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"E","RJ34",4,5,0.0027,"Bosmina",18,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"E","RJ34",4,5,0.0027,"Chydorus",10,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"E","RJ34",4,5,0.0027,"Diacyclops thomasi",3,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"E","RJ34",4,5,0.0027,"Eucyclops",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"E","RJ34",4,5,0.0027,"Daphnia",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","OO73",5,5,0.0039,"Bosmina",26,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","OO73",5,5,0.0039,"Chydorus",19,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","OO73",5,5,0.0039,"Diacyclops thomasi",8,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","OO73",5,5,0.0039,"Daphnia",5,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RF32",4,5,0.0022,"Bosmina",3,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RF32",4,5,0.0022,"Chydorus",7,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RF32",4,5,0.0022,"Diacyclops thomasi",2,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RF32",4,5,0.0022,"Eucyclops",2,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RF32",4,5,0.0022,"Ostracoda",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RF32",4,5,0.0022,"Ceriodaphnia",1,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RN93",5,5,0.0052,"Bosmina",13,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RN93",5,5,0.0052,"Chydorus",27,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RN93",5,5,0.0052,"Diacyclops thomasi",15,NA,NA
"Cage Prototypes",2019,2019-03-27,"SDWSC",NA,"F","RN93",5,5,0.0052,"Daphnia",5,NA,NA
