"Study","Site","Year","Month","Date","Enclosure","Treatment","FishID","Tag","Error","Empty","Fullness","Digestion","FullStomachWeight","EmptyStomachWeight","StomachWeightDifference","TotalContentsWeight","Taxon","Count","TaxaWeight","Comments"
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RD60","RD60","FALSE","N",4,5,NA,NA,NA,0.0033,"Ostracoda",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RD60","RD60","FALSE","N",4,5,NA,NA,NA,0.0033,"Sinocalanus doerrii adult",3,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RG36","RG36","FALSE","N",4,5,NA,NA,NA,0.0026,"Acanthocyclops adult",3,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RG36","RG36","FALSE","N",4,5,NA,NA,NA,0.0026,"Acanthocyclops copepodid",32,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RG36","RG36","FALSE","N",4,5,NA,NA,NA,0.0026,"Bosmina",8,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RG36","RG36","FALSE","N",4,5,NA,NA,NA,0.0026,"Calanoida copepodid",10,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RG36","RG36","FALSE","N",4,5,NA,NA,NA,0.0026,"Chydorus",8,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RG36","RG36","FALSE","N",4,5,NA,NA,NA,0.0026,"Cyclopoida copepodid",16,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RG36","RG36","FALSE","N",4,5,NA,NA,NA,0.0026,"Daphnia",4,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RG36","RG36","FALSE","N",4,5,NA,NA,NA,0.0026,"Diacyclops thomasi",3,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RG36","RG36","FALSE","N",4,5,NA,NA,NA,0.0026,"Diaptomidae adult",2,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RG36","RG36","FALSE","N",4,5,NA,NA,NA,0.0026,"Eurycercus",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RG36","RG36","FALSE","N",4,5,NA,NA,NA,0.0026,"Eurytemora carolleeae adult",4,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RG36","RG36","FALSE","N",4,5,NA,NA,NA,0.0026,"Eurytemora carolleeae copepodid",2,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RG36","RG36","FALSE","N",4,5,NA,NA,NA,0.0026,"Sinocalanus doerrii adult",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RG36","RG36","FALSE","N",4,5,NA,NA,NA,0.0026,"Sinocalanus doerrii copepodid",3,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RI81","RI81","FALSE","N",3,5,NA,NA,NA,4e-04,"Acanthocyclops adult",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RI81","RI81","FALSE","N",3,5,NA,NA,NA,4e-04,"Acanthocyclops copepodid",4,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RI81","RI81","FALSE","N",3,5,NA,NA,NA,4e-04,"Ceriodaphnia",4,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RI81","RI81","FALSE","N",3,5,NA,NA,NA,4e-04,"Chydorus",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RI81","RI81","FALSE","N",3,5,NA,NA,NA,4e-04,"Cyclopoida copepodid",4,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RI81","RI81","FALSE","N",3,5,NA,NA,NA,4e-04,"Daphnia",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RI81","RI81","FALSE","N",3,5,NA,NA,NA,4e-04,"Diacyclops thomasi",4,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RI81","RI81","FALSE","N",3,5,NA,NA,NA,4e-04,"Eucyclops",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RI81","RI81","FALSE","N",3,5,NA,NA,NA,4e-04,"Eurytemora carolleeae copepodid",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RI81","RI81","FALSE","N",3,5,NA,NA,NA,4e-04,"Sinocalanus doerrii copepodid",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RK69","RK69","FALSE","N",3,5,NA,NA,NA,0.0017,"Acanthocyclops adult",2,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RK69","RK69","FALSE","N",3,5,NA,NA,NA,0.0017,"Acanthocyclops copepodid",23,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RK69","RK69","FALSE","N",3,5,NA,NA,NA,0.0017,"Alona",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RK69","RK69","FALSE","N",3,5,NA,NA,NA,0.0017,"Bosmina",3,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RK69","RK69","FALSE","N",3,5,NA,NA,NA,0.0017,"Calanoida copepodid",10,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RK69","RK69","FALSE","N",3,5,NA,NA,NA,0.0017,"Chydorus",6,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RK69","RK69","FALSE","N",3,5,NA,NA,NA,0.0017,"Cyclopoida copepodid",5,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RK69","RK69","FALSE","N",3,5,NA,NA,NA,0.0017,"Daphnia",5,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RK69","RK69","FALSE","N",3,5,NA,NA,NA,0.0017,"Diacyclops thomasi",5,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RK69","RK69","FALSE","N",3,5,NA,NA,NA,0.0017,"Diaptomidae adult",3,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RK69","RK69","FALSE","N",3,5,NA,NA,NA,0.0017,"Eurytemora carolleeae adult",4,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RK69","RK69","FALSE","N",3,5,NA,NA,NA,0.0017,"Sinocalanus doerrii copepodid",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RL85","RL85","FALSE","N",4,5,NA,NA,NA,0.0017,"Acanthocyclops adult",2,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RL85","RL85","FALSE","N",4,5,NA,NA,NA,0.0017,"Acanthocyclops copepodid",30,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RL85","RL85","FALSE","N",4,5,NA,NA,NA,0.0017,"Bosmina",41,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RL85","RL85","FALSE","N",4,5,NA,NA,NA,0.0017,"Chydorus",15,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RL85","RL85","FALSE","N",4,5,NA,NA,NA,0.0017,"Cyclopoida copepodid",12,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RL85","RL85","FALSE","N",4,5,NA,NA,NA,0.0017,"Daphnia",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RL85","RL85","FALSE","N",4,5,NA,NA,NA,0.0017,"Diacyclops thomasi",7,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"A","Wrap","2019_ENPSDWSC_RL85","RL85","FALSE","N",4,5,NA,NA,NA,0.0017,"Diaptomidae adult",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_OO98","OO98","FALSE","N",4,5,NA,NA,NA,0.0056,"Acanthocyclops adult",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_OO98","OO98","FALSE","N",4,5,NA,NA,NA,0.0056,"Acanthocyclops copepodid",14,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_OO98","OO98","FALSE","N",4,5,NA,NA,NA,0.0056,"Americorophium juvenile",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_OO98","OO98","FALSE","N",4,5,NA,NA,NA,0.0056,"Bosmina",2,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_OO98","OO98","FALSE","N",4,5,NA,NA,NA,0.0056,"Calanoida copepodid",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_OO98","OO98","FALSE","N",4,5,NA,NA,NA,0.0056,"Ceriodaphnia",2,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_OO98","OO98","FALSE","N",4,5,NA,NA,NA,0.0056,"Chydorus",3,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_OO98","OO98","FALSE","N",4,5,NA,NA,NA,0.0056,"Cyclopoida copepodid",3,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_OO98","OO98","FALSE","N",4,5,NA,NA,NA,0.0056,"Daphnia",3,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_OO98","OO98","FALSE","N",4,5,NA,NA,NA,0.0056,"Diacyclops thomasi",3,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_OO98","OO98","FALSE","N",4,5,NA,NA,NA,0.0056,"Diaptomidae adult",2,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_OO98","OO98","FALSE","N",4,5,NA,NA,NA,0.0056,"Eurytemora carolleeae adult",3,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_OO98","OO98","FALSE","N",4,5,NA,NA,NA,0.0056,"Eurytemora carolleeae copepodid",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RA21","RA21","FALSE","N",3,5,NA,NA,NA,0.0012,"Acanthocyclops copepodid",8,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RA21","RA21","FALSE","N",3,5,NA,NA,NA,0.0012,"Calanoida copepodid",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RA21","RA21","FALSE","N",3,5,NA,NA,NA,0.0012,"Ceriodaphnia",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RA21","RA21","FALSE","N",3,5,NA,NA,NA,0.0012,"Cyclopoida copepodid",2,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RA21","RA21","FALSE","N",3,5,NA,NA,NA,0.0012,"Daphnia",3,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RA21","RA21","FALSE","N",3,5,NA,NA,NA,0.0012,"Diacyclops thomasi",7,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RA21","RA21","FALSE","N",3,5,NA,NA,NA,0.0012,"Eurytemora carolleeae copepodid",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RA21","RA21","FALSE","N",3,5,NA,NA,NA,0.0012,"Hyalella azteca",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RA25","RA25","FALSE","N",4,4,NA,NA,NA,0.0031,"Acanthocyclops adult",5,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RA25","RA25","FALSE","N",4,4,NA,NA,NA,0.0031,"Acanthocyclops copepodid",24,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RA25","RA25","FALSE","N",4,4,NA,NA,NA,0.0031,"Bosmina",8,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RA25","RA25","FALSE","N",4,4,NA,NA,NA,0.0031,"Calanoida copepodid",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RA25","RA25","FALSE","N",4,4,NA,NA,NA,0.0031,"Ceriodaphnia",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RA25","RA25","FALSE","N",4,4,NA,NA,NA,0.0031,"Chydorus",6,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RA25","RA25","FALSE","N",4,4,NA,NA,NA,0.0031,"Cyclopoida copepodid",11,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RA25","RA25","FALSE","N",4,4,NA,NA,NA,0.0031,"Diacyclops thomasi",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RA25","RA25","FALSE","N",4,4,NA,NA,NA,0.0031,"Diaptomidae adult",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RA25","RA25","FALSE","N",4,4,NA,NA,NA,0.0031,"Eucyclops",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RA25","RA25","FALSE","N",4,4,NA,NA,NA,0.0031,"Eurytemora carolleeae adult",3,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RA25","RA25","FALSE","N",4,4,NA,NA,NA,0.0031,"Eurytemora carolleeae copepodid",2,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RB43","RB43","FALSE","N",4,4,NA,NA,NA,0.0033,"Acanthocyclops copepodid",19,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RB43","RB43","FALSE","N",4,4,NA,NA,NA,0.0033,"Bosmina",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RB43","RB43","FALSE","N",4,4,NA,NA,NA,0.0033,"Calanoida copepodid",4,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RB43","RB43","FALSE","N",4,4,NA,NA,NA,0.0033,"Chydorus",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RB43","RB43","FALSE","N",4,4,NA,NA,NA,0.0033,"Cyclopoida copepodid",3,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RB43","RB43","FALSE","N",4,4,NA,NA,NA,0.0033,"Diacyclops thomasi",5,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RB43","RB43","FALSE","N",4,4,NA,NA,NA,0.0033,"Eurytemora carolleeae adult",3,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RB43","RB43","FALSE","N",4,4,NA,NA,NA,0.0033,"Eurytemora carolleeae copepodid",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RB43","RB43","FALSE","N",4,4,NA,NA,NA,0.0033,"Sinocalanus doerrii adult",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RB43","RB43","FALSE","N",4,4,NA,NA,NA,0.0033,"Sinocalanus doerrii copepodid",2,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RD85","RD85","FALSE","N",4,5,NA,NA,NA,0.0019,"Acanthocyclops adult",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RD85","RD85","FALSE","N",4,5,NA,NA,NA,0.0019,"Acanthocyclops copepodid",9,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RD85","RD85","FALSE","N",4,5,NA,NA,NA,0.0019,"Bosmina",3,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RD85","RD85","FALSE","N",4,5,NA,NA,NA,0.0019,"Calanoida copepodid",5,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RD85","RD85","FALSE","N",4,5,NA,NA,NA,0.0019,"Chydorus",12,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RD85","RD85","FALSE","N",4,5,NA,NA,NA,0.0019,"Cyclopoida copepodid",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RD85","RD85","FALSE","N",4,5,NA,NA,NA,0.0019,"Daphnia",2,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RD85","RD85","FALSE","N",4,5,NA,NA,NA,0.0019,"Diacyclops thomasi",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RD85","RD85","FALSE","N",4,5,NA,NA,NA,0.0019,"Eucyclops",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RD85","RD85","FALSE","N",4,5,NA,NA,NA,0.0019,"Hemiptera",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RD85","RD85","FALSE","N",4,5,NA,NA,NA,0.0019,"Ostracoda",2,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RG31","RG31","FALSE","N",5,4,NA,NA,NA,0.0049,"Acanthocyclops adult",3,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RG31","RG31","FALSE","N",5,4,NA,NA,NA,0.0049,"Acanthocyclops copepodid",29,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RG31","RG31","FALSE","N",5,4,NA,NA,NA,0.0049,"Bosmina",8,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RG31","RG31","FALSE","N",5,4,NA,NA,NA,0.0049,"Calanoida copepodid",4,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RG31","RG31","FALSE","N",5,4,NA,NA,NA,0.0049,"Chydorus",20,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RG31","RG31","FALSE","N",5,4,NA,NA,NA,0.0049,"Cyclopoida copepodid",13,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RG31","RG31","FALSE","N",5,4,NA,NA,NA,0.0049,"Daphnia",2,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RG31","RG31","FALSE","N",5,4,NA,NA,NA,0.0049,"Diacyclops thomasi",5,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RG31","RG31","FALSE","N",5,4,NA,NA,NA,0.0049,"Eucyclops",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RG31","RG31","FALSE","N",5,4,NA,NA,NA,0.0049,"Eurytemora carolleeae copepodid",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RG31","RG31","FALSE","N",5,4,NA,NA,NA,0.0049,"Ostracoda",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RG31","RG31","FALSE","N",5,4,NA,NA,NA,0.0049,"Scapholeberis",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RH51","RH51","FALSE","N",4,5,NA,NA,NA,0.0023,"Acanthocyclops adult",6,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RH51","RH51","FALSE","N",4,5,NA,NA,NA,0.0023,"Acanthocyclops copepodid",33,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RH51","RH51","FALSE","N",4,5,NA,NA,NA,0.0023,"Bosmina",8,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RH51","RH51","FALSE","N",4,5,NA,NA,NA,0.0023,"Calanoida copepodid",16,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RH51","RH51","FALSE","N",4,5,NA,NA,NA,0.0023,"Chydorus",13,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RH51","RH51","FALSE","N",4,5,NA,NA,NA,0.0023,"Cyclopoida copepodid",14,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RH51","RH51","FALSE","N",4,5,NA,NA,NA,0.0023,"Daphnia",2,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RH51","RH51","FALSE","N",4,5,NA,NA,NA,0.0023,"Diacyclops thomasi",9,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RH51","RH51","FALSE","N",4,5,NA,NA,NA,0.0023,"Eurytemora carolleeae adult",2,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RH51","RH51","FALSE","N",4,5,NA,NA,NA,0.0023,"Eurytemora carolleeae copepodid",3,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RH51","RH51","FALSE","N",4,5,NA,NA,NA,0.0023,"Ostracoda",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RH51","RH51","FALSE","N",4,5,NA,NA,NA,0.0023,"Sinocalanus doerrii adult",3,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RH51","RH51","FALSE","N",4,5,NA,NA,NA,0.0023,"Sinocalanus doerrii copepodid",1,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RK94","RK94","FALSE","N",3,5,NA,NA,NA,0.0016,"Acanthocyclops adult",3,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RK94","RK94","FALSE","N",3,5,NA,NA,NA,0.0016,"Acanthocyclops copepodid",40,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RK94","RK94","FALSE","N",3,5,NA,NA,NA,0.0016,"Bosmina",4,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RK94","RK94","FALSE","N",3,5,NA,NA,NA,0.0016,"Calanoida copepodid",2,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RK94","RK94","FALSE","N",3,5,NA,NA,NA,0.0016,"Chydorus",8,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RK94","RK94","FALSE","N",3,5,NA,NA,NA,0.0016,"Cyclopoida copepodid",9,NA,NA
"Enclosure Prototype SDWSC","SDWSC","2019","3",2019-03-27,"B","Large","2019_ENPSDWSC_RK94","RK94","FALSE","N",3,5,NA,NA,NA,0.0016,"Daphnia",2,NA,NA
